Time	Open	High	Low	Close	Volume
2009-01-23 00:00:00	89.13	89.63	87.985	88.76	473784	18
2009-01-25 00:00:00	88.705	88.725	88.255	88.43	7615	75
2009-01-26 00:00:00	88.425	89.685	88.42	89.27	477238	27
2009-01-27 00:00:00	89.27	90.07	88.43	89.33	596987	14
2009-01-28 00:00:00	89.33	90.765	88.875	90.49	648085	20
2009-01-29 00:00:00	90.48	90.655	89.47	89.915	675258	20
2009-01-30 00:00:00	89.92	90.08	89.165	89.91	657554	17
2009-02-01 00:00:00	89.99	90	89.6	89.7	11027	37
2009-02-02 00:00:00	89.7	89.98	88.805	89.35	574997	19
2009-02-03 00:00:00	89.35	89.98	88.59	89.365	607167	12
2009-02-04 00:00:00	89.37	89.78	88.82	89.45	694921	17
2009-02-05 00:00:00	89.45	92.25	89.215	91.17	659288	14
2009-02-06 00:00:00	91.17	92.21	90.73	91.855	627392	19
2009-02-08 00:00:00	91.76	92.41	91.755	92.06	13015	25
2009-02-09 00:00:00	92.065	92.11	90.88	91.32	648688	18
2009-02-10 00:00:00	91.325	91.66	90.125	90.445	806703	16
2009-02-11 00:00:00	90.445	90.76	89.7	90.3	483848	15
2009-02-12 00:00:00	90.285	91.115	89.81	90.67	564753	12
2009-02-13 00:00:00	90.675	92.135	90.53	91.83	521432	17
2009-02-15 00:00:00	91.725	91.96	91.465	91.48	16593	24
2009-02-16 00:00:00	91.48	92.07	91.42	91.71	356319	14
2009-02-17 00:00:00	91.715	92.75	91.56	92.29	534636	20
2009-02-18 00:00:00	92.285	93.955	92.08	93.64	517028	13
2009-02-19 00:00:00	93.645	94.46	93.295	94.01	542018	16
2009-02-20 00:00:00	94.01	94.38	92.51	93.325	629731	16
2009-02-22 00:00:00	93.44	93.645	93.295	93.495	14240	59
2009-02-23 00:00:00	93.485	94.945	92.76	94.365	785058	23
2009-02-24 00:00:00	94.365	96.93	94.26	96.56	557526	15
2009-02-25 00:00:00	96.56	97.79	96.355	97.39	663488	16
2009-02-26 00:00:00	97.39	98.715	97.31	98.34	491340	18
2009-02-27 00:00:00	98.34	98.355	96.85	97.57	501418	12
2009-03-01 00:00:00	97.73	97.785	97.16	97.2	12591	28
2009-03-02 00:00:00	97.2	97.905	96.91	97.075	554265	13
2009-03-03 00:00:00	97.08	98.595	97.02	98.515	540552	15
2009-03-04 00:00:00	98.515	99.48	98.19	99.02	538215	17
2009-03-05 00:00:00	99.015	99.675	97.715	98.135	438808	17
2009-03-06 00:00:00	98.125	98.51	96.58	98.29	543126	13
2009-03-08 00:00:00	98.375	98.38	97.895	97.94	17324	20
2009-03-09 00:00:00	97.94	99.19	97.935	98.94	526559	13
2009-03-10 00:00:00	98.935	99.135	97.895	98.79	607320	18
2009-03-11 00:00:00	98.785	98.8	97.035	97.225	577573	13
2009-03-12 00:00:00	97.225	98.525	95.665	97.32	638483	15
2009-03-13 00:00:00	97.315	98.66	97.125	97.975	621913	18
2009-03-15 00:00:00	98.07	98.175	97.54	98.1	21495	60
2009-03-16 00:00:00	98.1	98.645	97.97	98.25	630025	18
2009-03-17 00:00:00	98.235	98.97	98.185	98.775	574922	18
2009-03-18 00:00:00	98.785	98.805	95.645	96.415	636047	17
2009-03-19 00:00:00	96.415	96.605	93.54	94.5	746975	17
2009-03-20 00:00:00	94.5	96.265	94.15	95.92	508125	15
2009-03-22 00:00:00	95.605	95.965	95.385	95.96	22672	35
2009-03-23 00:00:00	95.965	97.34	95.645	97.095	688162	17
2009-03-24 00:00:00	97.1	98.565	97.03	98.33	773463	14
2009-03-25 00:00:00	98.33	98.35	96.915	97.76	622367	16
2009-03-26 00:00:00	97.765	98.86	97.585	98.705	536985	17
2009-03-27 00:00:00	98.705	98.765	97.09	97.85	526675	17
2009-03-29 00:00:00	98.02	98.225	97.79	98.065	7089	73
2009-03-30 00:00:00	98.07	98.32	95.955	97.4	478234	11
2009-03-31 00:00:00	97.405	99.47	97.38	99.325	599690	21
2009-04-01 00:00:00	99.32	99.325	98.215	98.545	573406	16
2009-04-02 00:00:00	98.545	99.91	98.385	99.685	581994	16
2009-04-03 00:00:00	99.685	100.375	99.34	100.295	617465	14
2009-04-05 00:00:00	100.185	100.58	100.13	100.55	27435	88
2009-04-06 00:00:00	100.56	101.44	100.4	100.415	610218	17
2009-04-07 00:00:00	100.405	100.86	99.84	100.655	585114	16
2009-04-08 00:00:00	100.65	100.865	99.31	99.875	604346	15
2009-04-09 00:00:00	99.875	100.68	99.68	100.62	431718	13
2009-04-10 00:00:00	100.625	100.725	100.19	100.23	73749	21
2009-04-12 00:00:00	100.325	100.435	100.315	100.41	5472	100
2009-04-13 00:00:00	100.405	100.72	99.85	100.33	236342	15
2009-04-14 00:00:00	100.33	100.425	98.725	99	470403	19
2009-04-15 00:00:00	99	99.66	98.145	99.255	504820	16
2009-04-16 00:00:00	99.255	99.6	98.525	99.47	619504	15
2009-04-17 00:00:00	99.465	99.755	98.71	99.135	479263	20
2009-04-19 00:00:00	99.16	99.41	99.115	99.31	6244	110
2009-04-20 00:00:00	99.305	99.38	97.65	97.76	381220	13
2009-04-21 00:00:00	97.76	98.91	97.72	98.52	439729	14
2009-04-22 00:00:00	98.52	98.63	97.57	98.055	410989	19
2009-04-23 00:00:00	98.05	98.435	97.63	97.86	422859	16
2009-04-24 00:00:00	97.86	97.93	96.635	97.15	440134	14
2009-04-26 00:00:00	96.8	96.88	96.615	96.74	17454	75
2009-04-27 00:00:00	96.73	97.11	96.27	96.365	516838	17
2009-04-28 00:00:00	96.36	96.705	95.625	96.54	520997	19
2009-04-29 00:00:00	96.54	97.97	96.49	97.59	484455	21
2009-04-30 00:00:00	97.6	98.99	97.14	98.89	508691	18
2009-05-01 00:00:00	98.89	99.57	98.725	99.075	370797	17
2009-05-04 00:00:00	99.35	99.56	98.72	98.84	291666	20
2009-05-05 00:00:00	98.835	99.21	98.605	98.75	450970	22
2009-05-06 00:00:00	98.75	99.08	97.935	98.65	417960	18
2009-05-07 00:00:00	98.65	99.75	98.4	99.17	463592	18
2009-05-08 00:00:00	99.165	99.57	98.305	98.45	376439	24
2009-05-10 00:00:00	98.63	98.825	98.54	98.725	23471	60
2009-05-11 00:00:00	98.725	98.795	97.255	97.595	626278	22
2009-05-12 00:00:00	97.585	97.83	95.985	96.24	801379	22
2009-05-13 00:00:00	96.24	96.685	95.115	95.375	612994	16
2009-05-14 00:00:00	95.38	96.18	95.11	95.98	554813	16
2009-05-15 00:00:00	95.97	96.08	94.725	95.19	445472	14
2009-05-17 00:00:00	94.87	95.16	94.845	95	26262	44
2009-05-18 00:00:00	95	96.46	94.55	96.31	767799	17
2009-05-19 00:00:00	96.305	96.7	95.895	96.2	554449	17
2009-05-20 00:00:00	96.2	96.215	94.45	94.58	588743	17
2009-05-21 00:00:00	94.59	95.255	93.88	93.89	578906	15
2009-05-22 00:00:00	93.9	94.915	93.85	94.76	554865	18
2009-05-24 00:00:00	94.635	94.795	94.53	94.56	17373	69
2009-05-25 00:00:00	94.57	95.205	94.415	94.915	336340	13
2009-05-26 00:00:00	94.915	95.37	94.51	95.22	583446	17
2009-05-27 00:00:00	95.22	95.72	94.65	95.595	617769	18
2009-05-28 00:00:00	95.58	97.235	95.485	96.715	531920	17
2009-05-29 00:00:00	96.705	96.895	95	95.325	404137	16
2009-05-31 00:00:00	95.13	95.475	95.13	95.47	8977	65
2009-06-01 00:00:00	95.47	96.8	94.445	96.43	416724	14
2009-06-02 00:00:00	96.435	96.625	95.32	95.45	584581	13
2009-06-03 00:00:00	95.45	96.42	95.405	95.985	569478	14
2009-06-04 00:00:00	95.98	96.97	95.96	96.635	609504	14
2009-06-05 00:00:00	96.64	98.88	96.56	98.635	465735	17
2009-06-07 00:00:00	98.545	98.785	98.435	98.66	18539	115
2009-06-08 00:00:00	98.66	98.855	98.2	98.47	626219	16
2009-06-09 00:00:00	98.47	98.545	97.25	97.415	623810	16
2009-06-10 00:00:00	97.405	98.44	97.085	98.215	562935	16
2009-06-11 00:00:00	98.215	98.555	97.29	97.55	494116	14
2009-06-12 00:00:00	97.545	98.425	97.51	98.41	503576	14
2009-06-19 00:00:00	96.78	96.795	96	96.26	95929	8
2009-06-21 00:00:00	96.175	96.3	95.975	96.085	11266	85
2009-06-22 00:00:00	96.08	96.27	95.295	95.425	472574	16
2009-06-23 00:00:00	95.425	95.89	94.875	95.33	497913	14
2009-06-24 00:00:00	95.325	96.05	95.08	95.705	466681	16
2009-06-25 00:00:00	95.7	96.565	95.65	96.185	394254	15
2009-06-26 00:00:00	95.93	95.99	95.04	95.175	270011	12
2009-06-28 00:00:00	95.11	95.38	95.045	95.16	10956	70
2009-06-29 00:00:00	95.17	96.28	95.17	96.155	362318	14
2009-06-30 00:00:00	96.145	96.51	95.31	96.235	522542	11
2009-07-01 00:00:00	96.235	96.985	96.165	96.515	488853	11
2009-07-02 00:00:00	96.515	96.88	95.695	95.815	340679	12
2009-07-03 00:00:00	95.82	96.12	95.695	96.005	237519	16
2009-07-05 00:00:00	96.1	96.115	95.84	95.87	15597	50
2009-07-06 00:00:00	95.865	95.865	94.66	95.22	688071	17
2009-07-07 00:00:00	95.215	95.455	94.595	94.62	773679	16
2009-07-08 00:00:00	94.62	94.73	91.78	92.705	901704	14
2009-07-09 00:00:00	92.705	93.6	92.51	93.155	979439	12
2009-07-10 00:00:00	93.155	93.185	91.775	92.52	789337	9
2009-07-12 00:00:00	92.365	92.52	92.35	92.46	14733	45
2009-07-13 00:00:00	92.46	93.155	91.735	93.095	1124526	13
2009-07-14 00:00:00	93.095	93.76	92.71	93.64	1269345	12
2009-07-15 00:00:00	93.635	94.47	93.26	94.315	982449	14
2009-07-16 00:00:00	94.3	94.45	93.265	93.705	808888	14
2009-07-17 00:00:00	93.695	94.375	93.475	94.205	778720	11
2009-07-19 00:00:00	94.175	94.385	94.17	94.36	16550	180
2009-07-20 00:00:00	94.355	94.78	93.95	94.155	905952	15
2009-07-21 00:00:00	94.145	94.39	93.285	93.54	850061	13
2009-07-22 00:00:00	93.54	93.87	93.09	93.58	859195	14
2009-07-23 00:00:00	93.58	95.295	93.575	94.96	1000341	12
2009-07-24 00:00:00	94.965	95.02	94.59	94.76	753906	10
2009-07-26 00:00:00	94.8	94.87	94.665	94.72	17240	69
2009-07-27 00:00:00	94.715	95.38	94.68	95.175	787166	14
2009-07-28 00:00:00	95.165	95.175	94.035	94.42	841571	14
2009-07-29 00:00:00	94.42	95.36	94.015	95.105	943608	10
2009-07-30 00:00:00	95.105	95.885	94.825	95.56	768153	12
2009-07-31 00:00:00	95.56	95.82	94.495	94.655	759299	13
2009-08-02 00:00:00	94.735	94.83	94.62	94.64	23675	80
2009-08-03 00:00:00	94.635	95.43	94.59	95.175	710765	13
2009-08-04 00:00:00	95.175	95.465	94.36	95.305	768011	16
2009-08-05 00:00:00	95.3	95.385	94.625	94.8	825403	11
2009-08-06 00:00:00	94.8	95.805	94.8	95.48	882948	13
2009-08-07 00:00:00	95.48	97.785	95.05	97.555	416256	15
2009-08-09 00:00:00	97.7	97.745	97.315	97.35	17270	40
2009-08-10 00:00:00	97.345	97.5	96.86	97.01	364387	13
2009-08-11 00:00:00	97.01	97.045	95.76	95.94	471245	14
2009-08-12 00:00:00	95.94	96.76	95.12	96.185	498656	10
2009-08-13 00:00:00	96.18	96.485	95.035	95.285	384167	13
2009-08-14 00:00:00	95.285	95.46	94.425	94.93	374757	11
2009-08-16 00:00:00	94.72	94.87	94.63	94.72	12396	26
2009-08-17 00:00:00	94.71	94.755	94.2	94.46	526735	14
2009-08-18 00:00:00	94.47	95.285	94.46	94.87	492175	11
2009-08-19 00:00:00	94.87	94.88	93.665	94.11	499309	10
2009-08-20 00:00:00	94.11	94.555	93.86	94.25	424283	12
2009-08-21 00:00:00	94.25	94.72	93.42	94.385	396094	12
2009-08-23 00:00:00	94.335	94.695	94.27	94.575	17642	65
2009-08-24 00:00:00	94.575	95.065	94.355	94.39	534603	13
