timestamp,LINAUSDT-GTCUSDT,LITUSDT-TLMUSDT,ONEUSDT-DENTUSDT,QTUMUSDT-STEEMUSDT,ICXUSDT-NKNUSDT,FLOWUSDT-OXTUSDT,AXSUSDT-DODOXUSDT,OGNUSDT-LUNA2USDT,KAVAUSDT-SKLUSDT,BCHUSDT-JTOUSDT,SNXUSDT-HFTUSDT,EOSUSDT-ZILUSDT
2024-06-28,-5.074148699818582,4.15515136143585,2.706677517290238,2.5650466006181265,0.6475734874813477,2.12244813564893,3.878334277453579,-1.4160822518765115,2.1568539292338236,5.11871261494142,2.247125337622678,3.516831960296167
2024-06-29,-5.073088308742806,4.147564757970469,2.702778707608698,2.560432921176008,0.6696045074050518,2.140719269285418,3.888074500138665,-1.4393735851402765,2.1713928827226954,5.117406784919264,2.246676225266553,3.498930990299081
2024-06-30,-5.0965777238969805,4.157197160413607,2.6785632212895347,2.5677733641444918,0.6724470722143547,2.134183029184385,3.8474017884046483,-1.4314219420902587,2.156248852828819,5.092966274106408,2.2394573409594924,3.480375411374338
2024-07-01,-5.089926027802788,4.147970828988344,2.6713862167306184,2.5766418140719956,0.6611364454237223,2.132590139958693,3.848118920387112,-1.4316908568738862,2.155269845199854,5.079321412837456,2.2661098814590055,3.515844092896151
2024-07-02,-5.063069861942646,4.159125536991603,2.649219594282151,2.59251514127718,0.6722422198800491,2.1313918939879346,3.867039724574858,-1.4232378763115747,2.1676411282448216,5.016809531752152,2.253986573133364,3.49746692561873
2024-07-03,-5.054487176625106,4.153013550367416,2.638759976059693,2.5706296816783936,0.6959417794909613,2.149677421406384,3.8595401301586687,-1.416345005319446,2.1739424903557767,5.123603683957099,2.224448647552895,3.5018072945613836
2024-07-04,-5.077646004379216,4.162331446377535,2.6437193427210692,2.5610281542370186,0.6700264550089794,2.1303012616336026,3.8950986807579926,-1.4577223149462069,2.1835591621416626,5.169083671286305,2.2500191097283073,3.4919977459886518
2024-07-05,-5.075438050933607,4.162537753538488,2.6873626615020827,2.544974587395155,0.6581961922951773,2.086367431162336,3.8598152851889562,-1.419004727425419,2.2316976719074635,5.132454193688626,2.1834922994555988,3.471682568005969
2024-07-06,-5.066345901110262,4.177407932925325,2.736723223112043,2.531120679380492,0.6637890779996853,2.07282143659023,3.8222844419580473,-1.4464461217798128,2.2459802593415477,5.132494305631954,2.1948680095819917,3.5027191210128166
2024-07-07,-5.052515791341243,4.167972630347416,2.726217505057659,2.522475647206331,0.6671056012027528,2.0815824456415224,3.8391293833741043,-1.4588132864759582,2.2229798989997906,5.102084992512125,2.177267973598131,3.5243665871511283
