ts,middle_bid_price,largest_bid_price,largest_bid_size,largest_bid_size_price,largest_bid_size_value,top_5_bid_size_sum,middle_ask_price,largest_ask_price,largest_ask_size,largest_ask_size_price,largest_ask_size_value,top_5_ask_size_sum,ts_diff
1738022640000,3189.40987652743,3191.19,68.64,3188.54,79.78,247.72,3193.4613738606295,3197.17,1.66,3193.66,78.36,220.47,1.0
1738022645000,3188.1631560087185,3190.26,52.93,3187.19,107.39,329.04,3192.047143504451,3196.14,0.0,3192.62,78.37,246.12,1.0
1738022650000,3194.2136824114145,3196.84,89.78,3193.88,139.1,436.46999999999997,3199.6539293486394,3202.82,1.31,3199.26,82.73,227.19,3.0
1738022655000,3196.1088156559745,3197.59,77.12,3194.83,79.28,264.52,3199.467136956833,3203.51,0.0,3199.84,43.74,127.02000000000001,1.0
1738022660000,3195.731222116753,3198.31,0.0,3191.86,76.06,168.02,3199.77798985259,3204.15,1.12,3198.26,85.43,307.99,1.0
1738022665000,3197.1598888401345,3199.0,86.93,3199.0,86.93,279.19,3200.9793141510604,3204.93,0.01,3201.42,78.19,226.76,1.0
1738022670000,3195.435930354759,3197.79,6.82,3194.84,324.45,531.35,3200.4515706389916,3204.43,0.0,3200.73,93.16,191.35999999999999,2.0
1738022675000,3197.579963522208,3199.14,106.68,3199.14,106.68,256.62,3201.093406071271,3204.95,0.0,3204.25,31.49,112.88,1.0
1738022680000,3195.8487600050025,3197.76,17.15,3195.13,81.52,188.09,3199.8400723306913,3204.21,0.0,3200.34,94.28,354.8,1.0
1738022685000,3195.3910162233883,3197.85,26.39,3194.84,302.61,479.54,3199.9349013460314,3203.99,6.95,3200.12,89.58,221.88,1.0
1738022690000,3196.2207143451838,3198.43,6.1,3195.59,87.08,199.82999999999998,3199.7436174636173,3204.24,0.02,3200.72,78.17,177.72,1.0
1738022695000,3195.543565827126,3197.72,63.29,3195.0,79.49,263.29,3199.7003479721625,3203.81,0.0,3200.12,89.57,168.51,2.0
1738022700000,3194.8959832508567,3197.39,31.59,3194.65,80.98,218.58,3199.0609349472575,3202.28,4.34,3199.8,78.21,210.23,2.0
1738022705000,3193.0679229835728,3195.56,0.0,3192.53,87.03,265.8,3197.3411307274546,3201.8,0.0,3197.68,86.07,276.21999999999997,3.0
1738022710000,3194.5965949481174,3196.73,0.0,3193.75,78.27,198.06,3198.1297602848217,3202.66,0.0,3198.92,85.71,264.14,2.0
1738022715000,3194.9572000878866,3197.1,1.44,3194.27,92.47,181.77,3198.8871896403307,3202.86,23.38,3199.42,95.69,285.44,1.0
1738022720000,3193.2588338898845,3195.15,28.72,3192.54,78.42,231.15,3197.306588038774,3201.57,0.0,3197.66,78.25,208.18,2.0
1738022725000,3190.419953402367,3192.01,1.34,3189.57,102.56,276.82,3194.6153470727227,3198.51,10.3,3194.62,78.33,229.62,1.0
1738022730000,3191.473599309445,3192.94,16.89,3190.96,78.91,188.88,3196.5708476198206,3199.86,115.63,3199.86,115.63,399.01,1.0
1738022735000,3191.785598864994,3193.19,19.87,3190.68,79.63,195.64,3195.182771754087,3199.41,0.0,3195.8,86.25,219.59,1.0
1738022740000,3191.449802306425,3192.74,9.4,3191.72,22.9,87.42999999999999,3195.9575098994824,3199.33,3.21,3195.67,82.75,154.84,1.0
1738022745000,3193.2180268257152,3194.79,5.34,3192.78,79.83,220.79,3197.0215912697313,3201.21,0.0,3197.91,79.52,168.56,1.0
1738022750000,3192.94567760889,3194.45,0.01,3192.28,83.96,167.95,3196.3859823673574,3201.19,0.0,3197.42,82.34,199.23000000000002,1.0
1738022755000,3191.6847036349614,3194.59,0.0,3188.55,120.29,404.61,3196.3593890691895,3199.19,35.26,3197.16,78.26,243.93,1.0
1738022760000,3193.226034476605,3194.57,1.59,3192.12,81.05,195.96,3196.316346908402,3198.32,11.94,3197.24,78.25,179.57999999999998,1.0
1738022765000,3194.5116654158646,3196.09,31.36,3193.32,89.66,226.8,3197.579423288173,3202.02,0.01,3198.45,78.41,135.78,1.0
1738022770000,3195.414402179173,3197.67,3.12,3197.15,98.66,384.78000000000003,3200.3621458702437,3203.51,4.15,3199.2,302.91,698.12,5.0
1738022775000,3196.7419037244217,3199.08,7.99,3196.04,78.15,181.27,3200.668745269361,3204.78,0.0,3201.19,80.7,205.1,1.0
1738022780000,3194.88921046563,3198.54,0.0,3192.06,277.01,519.7,3199.622355544659,3204.24,0.0,3198.43,90.62,333.97,3.0
1738022785000,3197.5411756144117,3199.2,79.42,3196.29,88.42,230.04000000000002,3201.283637587358,3205.06,0.03,3200.81,107.82,314.85,1.0
1738022790000,3197.426879755361,3199.1,24.16,3196.71,79.23,189.09,3201.491278798587,3205.54,0.0,3201.84,79.98,219.18,2.0
1738022795000,3197.6628952034757,3199.54,0.0,3196.15,89.29,246.66000000000003,3200.9455296473125,3205.23,0.01,3199.54,103.35,372.67,3.0
1738022800000,3196.1501645332783,3197.5,0.33,3195.39,82.32,207.53,3200.4116472219957,3203.8,1.34,3200.53,108.44,193.54999999999998,1.0
1738022805000,3193.5088894523324,3195.67,30.19,3192.91,81.23,182.71,3197.4483097400284,3198.89,0.19,3198.06,79.48,170.39000000000001,1.0
1738022810000,3197.43245271191,3199.57,75.42,3196.72,294.99,488.26,3201.6576291032543,3205.29,1.29,3201.89,84.61,159.29,2.0
1738022815000,3198.8839252174516,3200.85,22.44,3197.95,78.89,195.13,3202.862124262005,3206.66,4.6,3203.11,78.18,207.57,1.0
1738022820000,3197.788016691782,3200.36,10.01,3197.42,88.1,191.07999999999998,3202.486485491617,3206.23,0.0,3202.58,87.81,207.31,2.0
1738022825000,3194.694494680851,3197.0,14.62,3194.21,81.4,183.5,3199.6533063142133,3203.41,0.01,3199.33,78.37,141.12,2.0
1738022830000,3193.012594956967,3195.2,42.11,3192.36,83.96,301.9,3197.3535844467797,3201.74,0.57,3197.08,68.72,176.32,1.0
1738022835000,3192.7212985697256,3194.72,9.46,3192.25,78.61,145.05,3197.0028490313007,3201.29,4.68,3197.41,90.02,243.43,1.0
1738022840000,3190.5679275622683,3192.85,23.51,3189.22,145.48,293.85,3194.8217831160487,3199.5,4.11,3195.06,81.31,264.44,1.0
1738022845000,3189.544529419297,3191.18,40.12,3188.48,78.37,180.63,3194.042299263644,3197.95,118.52,3193.04,147.61,414.01,2.0
1738022850000,3189.8347872059676,3191.83,10.82,3188.95,79.28,233.9,3193.273129467504,3198.65,0.0,3194.06,79.58,248.06,2.0
1738022855000,3188.9817858090382,3190.61,39.56,3187.84,78.38,199.82999999999998,3192.690299436528,3197.11,0.75,3192.95,87.15,206.97,2.0
1738022860000,3188.8295904936012,3191.55,12.02,3186.78,88.14,272.53,3193.6707431435593,3198.57,0.0,3194.13,78.65,280.16,1.0
1738022865000,3189.934126111613,3192.02,0.0,3189.1,78.33,285.46,3194.051444039378,3198.96,0.0,3194.22,78.32,253.69,3.0
1738022870000,3189.913453129915,3192.97,0.11,3190.4,99.68,338.56,3194.5373270234986,3199.55,0.04,3195.26,78.31,196.49,2.0
1738022875000,3192.2840216381715,3194.3,45.45,3191.63,78.91,242.66,3198.039933260358,3200.89,28.17,3200.84,181.23,567.74,4.0
