opentime,openprice,highprice,lowprice,closeprice
1736775000000,2.3928,2.3955,2.3713,2.3783
1736776800000,2.3784,2.3837,2.3619,2.3751
1736778600000,2.3750,2.4614,2.3307,2.4299
1736780400000,2.4299,2.4959,2.4174,2.4678
1736782200000,2.4677,2.4881,2.4525,2.4651
1736784000000,2.4652,2.4853,2.4527,2.4694
1736785800000,2.4694,2.4947,2.4451,2.4523
1736787600000,2.4523,2.4698,2.4444,2.4648
1736789400000,2.4648,2.4771,2.4327,2.4451
1736791200000,2.4451,2.4651,2.4236,2.4323
1736793000000,2.4323,2.4566,2.4301,2.4497
1736794800000,2.4498,2.4660,2.4374,2.4655
1736796600000,2.4655,2.4821,2.4574,2.4628
1736798400000,2.4627,2.4695,2.4496,2.4665
1736800200000,2.4665,2.5135,2.4663,2.5076
1736802000000,2.5077,2.5214,2.4924,2.5101
1736803800000,2.5101,2.5494,2.5080,2.5307
1736805600000,2.5308,2.5560,2.5226,2.5361
1736807400000,2.5360,2.5360,2.5186,2.5300
1736809200000,2.5301,2.5317,2.5141,2.5167
1736811000000,2.5166,2.5271,2.5142,2.5225
1736812800000,2.5224,2.5400,2.5140,2.5287
1736814600000,2.5288,2.5457,2.5250,2.5434
1736816400000,2.5433,2.5554,2.5311,2.5487
1736818200000,2.5487,2.5520,2.5327,2.5367
1736820000000,2.5366,2.5508,2.5350,2.5453
1736821800000,2.5453,2.5472,2.5236,2.5325
1736823600000,2.5325,2.5376,2.5233,2.5328
1736825400000,2.5327,2.5362,2.5264,2.5326
1736827200000,2.5327,2.5443,2.5326,2.5358
1736829000000,2.5357,2.5423,2.5286,2.5386
1736830800000,2.5385,2.5530,2.5335,2.5394
1736832600000,2.5395,2.5414,2.5316,2.5321
1736834400000,2.5259,2.5375,2.5188,2.5312
1736836200000,2.5313,2.5405,2.527,2.531
1736838000000,2.5311,2.5403,2.5263,2.5297
1736839800000,2.5296,2.5316,2.5111,2.5156
1736841600000,2.5156,2.545,2.5156,2.5323
1736843400000,2.5322,2.5518,2.5319,2.5399
1736845200000,2.5399,2.5796,2.539,2.5755
1736847000000,2.5755,2.586,2.5648,2.577
1736848800000,2.577,2.6009,2.5629,2.5999
1736850600000,2.5999,2.6026,2.5841,2.5901
1736852400000,2.5901,2.5913,2.565,2.5669
1736854200000,2.5669,2.5761,2.5599,2.574
1736856000000,2.574,2.579,2.5535,2.5606
1736857800000,2.5607,2.5652,2.551,2.5527
1736859600000,2.5528,2.5601,2.5465,2.5499
1736861400000,2.5499,2.5856,2.5497,2.5647
1736863200000,2.5647,2.5819,2.5522,2.5789
1736865000000,2.5789,2.5915,2.5634,2.5711
1736866800000,2.5712,2.5905,2.5712,2.5768
1736868600000,2.5769,2.5846,2.5666,2.5782
1736870400000,2.578,2.5782,2.5511,2.5609
1736872200000,2.5609,2.616,2.559,2.6153
1736874000000,2.6152,2.6766,2.5972,2.6555
1736875800000,2.6555,2.6683,2.6402,2.6557
1736877600000,2.6557,2.7012,2.6527,2.6781
1736879400000,2.6782,2.687,2.6666,2.6825
1736881200000,2.6824,2.6913,2.6757,2.6826
1736883000000,2.6826,2.6831,2.6632,2.6633
1736884800000,2.6632,2.6716,2.6383,2.6631
1736886600000,2.6631,2.667,2.6437,2.648
1736888400000,2.648,2.669,2.6445,2.6682
1736890200000,2.6681,2.6706,2.6513,2.6699
1736892000000,2.6699,2.675,2.6572,2.6704
1736893800000,2.6704,2.6788,2.6643,2.6672
1736895600000,2.6672,2.6742,2.6582,2.6682
1736897400000,2.6683,2.6735,2.6601,2.6668
1736899200000,2.6668,2.6831,2.6489,2.6745
1736901000000,2.6745,2.6811,2.6592,2.6765
1736902800000,2.6764,2.7412,2.6705,2.741
1736904600000,2.741,2.811,2.7361,2.7928
1736906400000,2.7928,2.8345,2.7801,2.7931
1736908200000,2.793,2.8777,2.7877,2.8475
1736910000000,2.8474,2.8633,2.7943,2.8133
1736911800000,2.8133,2.8334,2.8018,2.8309
1736913600000,2.8308,2.8379,2.8014,2.805
1736915400000,2.805,2.8132,2.782,2.8028
1736917200000,2.8027,2.8193,2.797,2.8161
1736919000000,2.8161,2.8495,2.8157,2.8453
1736920800000,2.8453,2.8478,2.8243,2.8259
1736922600000,2.826,2.8595,2.825,2.8443
1736924400000,2.8443,2.8647,2.8346,2.8531
1736926200000,2.8532,2.8925,2.8415,2.8583
1736928000000,2.8583,2.8592,2.8265,2.8518
1736929800000,2.8519,2.8757,2.8428,2.8455
1736931600000,2.8456,2.8643,2.8352,2.8482
1736933400000,2.8481,2.8652,2.7913,2.804
1736935200000,2.8041,2.8367,2.804,2.8367
1736937000000,2.8367,2.8418,2.8057,2.817
1736938800000,2.817,2.82,2.7123,2.7345
1736940600000,2.7344,2.7673,2.721,2.76
1736942400000,2.76,2.7646,2.726,2.7321
1736944200000,2.7322,2.7736,2.7322,2.7646
1736946000000,2.7646,2.8024,2.7637,2.787
1736947800000,2.7872,2.89,2.7862,2.8589
1736949600000,2.8588,2.8725,2.8253,2.8366
1736951400000,2.8366,2.877,2.8304,2.8639
1736953200000,2.8639,3.036,2.8451,3.0257
1736955000000,3.0255,3.026,2.928,2.9705
1736956800000,2.9705,3.0069,2.9,2.9458
1736958600000,2.9457,2.9477,2.8823,2.8991
1736960400000,2.8991,2.9248,2.8712,2.8802
1736962200000,2.8803,2.908,2.87,2.8958
1736964000000,2.8957,2.9288,2.8938,2.9236
1736965800000,2.9235,2.9491,2.918,2.9468
1736967600000,2.9468,2.9678,2.9363,2.938
1736969400000,2.9379,2.9542,2.9285,2.9443
1736971200000,2.9444,2.9632,2.9331,2.9461
1736973000000,2.9461,2.9758,2.934,2.9683
1736974800000,2.9683,2.9936,2.9648,2.9845
1736976600000,2.9846,3.0655,2.97,3.0458
1736978400000,3.0457,3.086,3.0186,3.0556
1736980200000,3.0556,3.0981,3.0453,3.081
1736982000000,3.081,3.1992,3.0748,3.1477
1736983800000,3.1478,3.1922,3.13,3.1411
1736985600000,3.1411,3.15,3.0251,3.0262
1736987400000,3.0262,3.0359,2.9211,2.9996
1736989200000,2.9995,3.0639,2.9986,3.037
1736991000000,3.0371,3.083,3.0176,3.0719
1736992800000,3.0718,3.0841,3.0249,3.0329
1736994600000,3.0329,3.0558,3.027,3.0391
1736996400000,3.039,3.0566,3.0166,3.0173
1736998200000,3.0173,3.0445,2.9836,3.0391
1737000000000,3.0392,3.0666,3.0385,3.0613
1737001800000,3.0614,3.0831,3.0564,3.0744
1737003600000,3.0743,3.0756,3.0483,3.0606
1737005400000,3.0606,3.0694,3.0504,3.0531
1737007200000,3.0531,3.0758,3.0451,3.0589
1737009000000,3.059,3.1209,3.0578,3.1201
1737010800000,3.1202,3.1486,3.1051,3.1133
1737012600000,3.1134,3.1244,3.0879,3.0897
1737014400000,3.0896,3.1125,3.0731,3.1052
1737016200000,3.1051,3.1123,3.0429,3.0769
1737018000000,3.0769,3.0869,3.0435,3.0569
1737019800000,3.057,3.0738,3.0264,3.0732
1737021600000,3.0732,3.1018,3.0682,3.0933
1737023400000,3.0933,3.1105,3.0792,3.1099
1737025200000,3.11,3.1836,3.0853,3.1662
1737027000000,3.1661,3.22,3.147,3.1961
1737028800000,3.196,3.2759,3.16,3.2527
1737030600000,3.2528,3.3484,3.246,3.3383
1737032400000,3.3383,3.388,3.252,3.2624
1737034200000,3.2624,3.3536,3.251,3.2969
1737036000000,3.2968,3.3654,3.2835,3.3394
1737037800000,3.3393,3.3483,3.183,3.2188
1737039600000,3.2189,3.309,3.2143,3.3064
1737041400000,3.3063,3.3299,3.2556,3.3067
1737043200000,3.3067,3.356,3.3032,3.3457
1737045000000,3.3457,3.4043,3.3303,3.3788
1737046800000,3.3788,3.3788,3.3135,3.3721
1737048600000,3.3718,3.3858,3.3222,3.3509
1737050400000,3.3508,3.3665,3.3169,3.35
1737052200000,3.3499,3.3698,3.3276,3.35
1737054000000,3.35,3.3678,3.3213,3.3654
1737055800000,3.3655,3.3917,3.3437,3.3483
1737057600000,3.3482,3.3492,3.2542,3.2898
1737059400000,3.2899,3.3189,3.2765,3.29
1737061200000,3.29,3.3057,3.24,3.2851
1737063000000,3.285,3.3032,3.2704,3.2906
