date,open,high,low,close,gap_day,next_close,open_change,high_change,low_change,close_change,ma_close_5,ma_close_10,prev_open,prev_high,prev_low,prev_close,daily_range,gap_change,close_ma5_ratio,close_ma10_ratio
2022-07-02,19272.0,19456.0,18959.0,19240.9,1,19305.9,-651.2999999999993,-1470.4000000000015,10.200000000000728,-31.099999999998545,19762.98,20438.37,19923.3,20926.4,18948.8,19272.0,497.0,0.0,0.9735829313190623,0.9414106897957127
2022-07-03,19241.0,19645.4,18780.1,19305.9,1,20226.6,-31.0,189.40000000000146,-178.90000000000146,65.0,19570.440000000002,20259.3,19272.0,19456.0,18959.0,19240.9,865.3000000000029,0.09999999999854481,0.9864826748913156,0.952940131199005
2022-07-04,19306.0,20350.0,19046.3,20226.6,1,20170.0,65.0,704.5999999999985,266.2000000000007,920.6999999999971,19593.78,20158.840000000004,19241.0,19645.4,18780.1,19305.9,1303.7000000000007,0.09999999999854481,1.0322969840428953,1.0033613045195058
2022-07-05,20226.3,20749.2,19291.6,20170.0,1,20554.1,920.2999999999993,399.2000000000007,245.29999999999927,-56.599999999998545,19643.079999999998,20027.65,19306.0,20350.0,19046.3,20226.6,1457.6000000000022,-0.2999999999992724,1.0268247138432467,1.007107673641191
2022-07-06,20170.1,20667.6,19753.0,20554.1,1,21613.4,-56.20000000000073,-81.60000000000218,461.40000000000146,384.09999999999854,19899.5,19980.15,20226.3,20749.2,19291.6,20170.0,914.5999999999985,0.09999999999854481,1.032895298876856,1.028726010565486
2022-07-07,20554.2,21830.0,20244.9,21613.4,1,21587.9,384.1000000000022,1162.4000000000015,491.90000000000146,1059.300000000003,20374.0,20068.489999999998,20170.1,20667.6,19753.0,20554.1,1585.0999999999985,0.10000000000218279,1.0608324334936685,1.0769818755671206
2022-07-08,21614.5,22579.9,21175.2,21587.9,1,21580.0,1060.2999999999993,749.9000000000015,930.2999999999993,-25.5,20830.4,20200.420000000002,20554.2,21830.0,20244.9,21613.4,1404.7000000000007,1.0999999999985448,1.0363651202089255,1.068685700594344
2022-07-09,21587.8,22000.0,21309.6,21580.0,1,20853.8,-26.700000000000728,-579.9000000000015,134.39999999999782,-7.900000000001455,21101.079999999998,20347.43,21614.5,22579.9,21175.2,21587.9,690.4000000000015,-0.10000000000218279,1.0226964686167723,1.0605762005324506
2022-07-10,21580.0,21594.2,20600.0,20853.8,1,19954.3,-7.799999999999272,-405.7999999999993,-709.5999999999985,-726.2000000000007,21237.84,20440.46,21587.8,22000.0,21309.6,21580.0,994.2000000000007,0.0,0.9819171817849649,1.0202216584166892
2022-07-11,20853.8,20853.9,19870.0,19954.3,1,19322.9,-726.2000000000007,-740.2999999999993,-730.0,-899.5,21117.88,20508.689999999995,21580.0,21594.2,20600.0,20853.8,983.9000000000015,0.0,0.9449007192009803,0.9729680442778161
2022-07-12,19954.3,20048.9,19228.3,19322.9,1,20220.1,-899.5,-805.0,-641.7000000000007,-631.3999999999978,20659.78,20516.89,20853.8,20853.9,19870.0,19954.3,820.6000000000022,0.0,0.9352906952542575,0.9418045327532585
