date,daily_open,daily_high,daily_low,daily_close,total_volume,total_quote_volume,avg_vwap,avg_trade_size,avg_trade_count_change,avg_taker_buy_volume_ratio,daily_volume_change,avg_buy_sell_volume_imbalance,avg_relative_volume,avg_volume_volatility,count_volume_spikes,avg_price_to_volume_ratio,total_trades,avg_taker_buy_volume_change
2022-11-22,15793.0,15797.0,15735.0,15749.0,97930.0,1544143817.0,2671.0248217130793,22.056641263828762,0.0,0.09560479964704806,0.0,63.61805555555556,0.5638838573076018,131.66279156479916,179,147.23657297437083,493,0.0
2022-11-23,15749.0,15781.0,15701.0,15709.0,115435.0,1817538254.0,3182.1176936037423,37.17074955908289,0.0,0.096061175472458,0.0,78.79097222222222,0.6290307236263463,135.89317386192533,207,159.6831539465203,505,0.0
2022-11-24,15709.0,15779.0,15683.0,15766.0,71952.0,1131173915.0,2696.3508605650027,17.821147411616163,0.0,0.08047331603453936,0.0,49.09722222222222,0.5635634358160602,91.38270631047014,182,175.3855973406476,462,0.0
2022-11-25,15768.0,15829.0,15705.0,15790.0,220153.0,3469397587.0,3765.0309468507035,49.42390527874903,0.0006944444444444445,0.1458201821352714,0.004861111111111111,146.86180555555555,0.678066731660876,236.06874440878127,225,176.2662483571764,829,0.004861111111111111
2022-11-26,15790.0,15984.0,15754.0,15825.0,196242.0,3103517993.0,3193.56819658792,44.04239841948175,-0.0006944444444444445,0.10232445465803694,-0.004861111111111111,134.40555555555557,0.6269770234922649,240.3782073259459,204,116.64202368716438,736,-0.004861111111111111
2022-11-27,15825.0,15864.0,15766.0,15795.0,70860.0,1120192377.0,2347.2623234216203,22.483845047699216,0.0,0.06698473230308409,0.0,48.019444444444446,0.4930029707087545,96.6241448733082,156,106.05658479108565,355,0.0
2022-11-28,15795.0,15970.0,8800.0,15820.0,498187.0,7144834751.0,3995.4721280909844,87.44680398285112,0.0,0.16744278906101315,0.0,332.16875,0.662574640121107,541.2140222523898,217,127.73009448916218,1054,0.0
2022-11-29,15820.0,15953.0,15804.0,15843.0,115795.0,1835881314.0,3311.698065539531,54.54045012907785,0.0,0.11582763825089387,0.0,79.06180555555555,0.6421166731052709,133.52996320024477,216,133.11042791928494,555,0.0
2022-11-30,15843.0,15867.0,15695.0,15776.0,256795.0,4061867056.0,4117.902770716365,52.09165633968323,0.0,0.11997144675968074,0.0,170.82291666666666,0.6875758065163841,292.6028927465925,227,164.00418269574124,1602,0.0
2022-12-01,15776.0,15929.0,15650.0,15678.0,184321.0,2898114347.0,3599.0701872314817,39.982188388335594,0.0,0.12201570408797699,0.0,123.64097222222222,0.6592435716276572,193.82911714580666,226,246.37060000703366,884,0.0
2022-12-02,15678.0,15696.0,15401.0,15539.0,183837.0,2856692500.0,3335.925579997967,57.68165950176366,0.0,0.12185225667869477,0.0,118.2076388888889,0.6407644837041603,228.24830143962467,217,152.63394883469115,546,0.0
2022-12-03,15539.0,15625.0,15474.0,15476.0,185802.0,2889793378.0,3087.741940385137,64.79341435185185,0.0,0.13104547548531656,0.0,123.34722222222223,0.5788196149542816,224.94438884245977,200,112.37523970079235,513,0.0
2022-12-04,15476.0,15621.0,15471.0,15543.0,120637.0,1874887715.0,2988.5469019561683,58.38635499338624,0.0,0.12187226915269292,0.0,81.83819444444444,0.5876451822794263,131.25490943802814,201,158.4323199862851,411,0.0
2022-12-05,15543.0,15555.0,15485.0,15510.0,65019.0,1009982577.0,2511.583776586272,20.691724941138435,0.0006944444444444445,0.0748344270219079,0.003472222222222222,44.03819444444444,0.5158577401981226,80.6541613396923,161,161.93421441201968,459,0.0
2022-12-06,15510.0,15740.0,15510.0,15696.0,125273.0,1959640550.0,3150.317001386953,50.12412037037037,-0.0006944444444444445,0.11772530347844577,-0.003472222222222222,83.8951388888889,0.5959018825624409,146.87494392202711,206,151.28778793947043,464,0.0
2022-12-07,15696.0,15767.0,15626.0,15691.0,112441.0,1765596890.0,2899.832058800826,37.15226568456348,0.0,0.10235259982787216,0.0,77.12986111111111,0.6016920963411969,134.28187047492173,194,218.17986106319108,599,0.0
2022-12-08,15691.0,15736.0,15591.0,15657.0,72965.0,1144917116.0,2569.25020118576,31.11614914021164,0.0,0.09674625696740125,0.0,50.27569444444445,0.5297212131329068,85.80488049011261,182,149.458131865961,368,0.0
2022-12-09,15657.0,15717.0,15605.0,15642.0,113761.0,1780177695.0,3444.5997338211732,52.94080940471565,0.0,0.13263967827534023,0.0,73.88402777777777,0.6020150259140925,104.38461910834485,211,138.5363589063515,655,0.0
2022-12-10,15642.0,15737.0,15635.0,15663.0,70253.0,1101387453.0,2491.939950923352,26.02505787037037,0.0,0.07629824113552013,0.0,47.21041666666667,0.5352913741582837,81.17055998199646,176,110.63354748633806,369,0.0
2022-12-11,15663.0,15709.0,15644.0,15681.0,85584.0,1341741736.0,2307.2791284051377,26.535636574074072,0.0,0.07053186895361627,0.0,58.49861111111111,0.49941248676956346,110.8261664626604,156,166.89776637280642,361,0.0
2022-12-12,15681.0,15716.0,15390.0,15644.0,165692.0,2590410584.0,2926.408505611658,58.21698330026455,0.0006944444444444445,0.09554486765377376,0.014583333333333334,114.65694444444445,0.5492349457486627,200.50876585870614,182,155.1769166522932,466,0.0
2022-12-13,15644.0,15737.0,12800.0,15598.0,272645.0,4222525360.0,3886.644804619228,72.18256475970018,-0.0006944444444444445,0.14452654049217453,-0.014583333333333334,179.39513888888888,0.6701863110778935,335.69229092043093,230,160.02963858360636,702,0.0
2022-12-14,15598.0,15700.0,15532.0,15649.0,144820.0,2266066049.0,2856.662968057043,53.207991071428566,0.0020833333333333333,0.1081021050007471,0.04375,97.25555555555556,0.6069637751427305,169.73309877996462,200,179.31327172897093,490,0.04375
2022-12-15,15649.0,15735.0,15618.0,15695.0,73714.0,1155961891.0,2568.2021190960118,30.767696759259255,-0.001388888888888889,0.08972286058362997,-0.018055555555555554,49.16388888888889,0.5399945530555621,86.19895433707016,179,175.7456462695004,393,-0.018055555555555554
2022-12-16,15695.0,15705.0,15605.0,15672.0,103608.0,1623279176.0,3263.2595661757773,23.999366073741072,0.0,0.0978203784153639,-0.018055555555555554,69.18472222222222,0.6551714676297659,130.50230516089408,218,216.76414174120518,655,-0.025694444444444443
2022-12-17,15677.0,15703.0,15643.0,15694.0,65417.0,1026245318.0,2549.2050448137747,17.512637511022927,-0.0006944444444444445,0.07623516240833722,-0.007638888888888889,45.03680555555555,0.5395015571954954,89.75514393393784,174,138.03831939888642,471,0.0
2022-12-18,15694.0,15700.0,15631.0,15663.0,90565.0,1419989433.0,2570.209566012938,33.6508143939394,0.0,0.0902763497413141,0.0,58.39375,0.5535939485675567,113.27126642905871,179,91.59161531401999,438,0.0
2022-12-19,15659.0,15699.0,15630.0,15661.0,110040.0,1723792216.0,2588.536253011442,37.83835589179339,0.0,0.09516688350570349,0.0,73.58888888888889,0.5474589103920567,129.35697024883626,179,122.47381325678921,446,0.0
2022-12-20,15661.0,15699.0,15468.0,15623.0,219386.0,3425997954.0,3199.87769937024,48.04349127217685,0.0,0.10290730535788498,0.0,146.5,0.6069586931976337,255.64383319665325,199,120.94897109345501,1112,0.0
2022-12-21,15622.0,15699.0,15567.0,15600.0,236399.0,3695722095.0,3418.2324753928824,57.04762162554121,0.0,0.10966767792102926,0.0,161.4701388888889,0.5839985149143259,249.55510658093243,197,111.54341731472621,1417,0.0
2022-12-22,15600.0,15709.0,15550.0,15636.0,180583.0,2822774033.0,3406.5010811224347,44.10239263272811,0.0,0.10645469124566619,0.0,118.81319444444445,0.6122464056086351,187.00091192437927,213,100.22829341533945,1077,0.0
2022-12-23,15636.0,15692.0,15567.0,15661.0,184984.0,2893893777.0,2899.4836389968127,34.902395133801384,0.0,0.08458015036207381,0.0,127.43611111111112,0.5341289765309145,239.09469552130454,185,126.42969962298197,701,0.0
2022-12-24,15661.0,15693.0,15550.0,15645.0,69555.0,1087928275.0,1912.6606294547419,25.05599700930567,0.0,0.06593781631384117,0.0,48.199305555555554,0.42247592348905966,86.48798147734992,136,98.51989314129997,446,0.0
2022-12-25,15645.0,15692.0,15637.0,15669.0,35883.0,562438805.0,1719.118948744119,11.971743326118325,0.0,0.04516675071104807,0.0,24.561805555555555,0.4003891400278187,50.16275369248152,127,101.75361414139938,302,0.0
